"Chr","Start","End","Count","Diff","IBS_ratio"
"Chr01",24700000,25200000,9,2,77.78
"Chr01",24800000,25300000,11,1,90.91
"Chr01",24900000,25400000,11,1,90.91
"Chr01",2.5e+07,25500000,6,0,100
"Chr01",25100000,25600000,6,0,100
"Chr01",25200000,25700000,5,0,100
"Chr01",25300000,25800000,2,0,100
"Chr01",25400000,25900000,8,0,100
"Chr01",25500000,2.6e+07,15,0,100
"Chr01",25600000,26100000,21,0,100
"Chr01",25700000,26200000,26,0,100
"Chr01",25800000,26300000,47,0,100
"Chr01",25900000,26400000,46,0,100
"Chr01",2.6e+07,26500000,47,0,100
"Chr01",26100000,26600000,48,0,100
"Chr01",26200000,26700000,49,0,100
"Chr01",26300000,26800000,28,0,100
"Chr01",26400000,26900000,25,0,100
"Chr01",26500000,2.7e+07,22,0,100
"Chr01",26600000,27100000,28,0,100
"Chr01",26700000,27200000,35,0,100
"Chr01",26800000,27300000,36,0,100
"Chr01",26900000,27400000,34,0,100
"Chr01",2.7e+07,27500000,31,0,100
"Chr01",27100000,27600000,28,0,100
"Chr01",27200000,27700000,20,0,100
"Chr01",27300000,27800000,23,0,100
"Chr01",27400000,27900000,23,0,100
"Chr01",27500000,2.8e+07,33,0,100
"Chr01",27600000,28100000,26,0,100
"Chr01",27700000,28200000,24,0,100
"Chr01",27800000,28300000,19,0,100
"Chr01",27900000,28400000,20,0,100
"Chr01",2.8e+07,28500000,10,0,100
"Chr01",28100000,28600000,7,0,100
"Chr01",28200000,28700000,5,0,100
"Chr01",28300000,28800000,4,0,100
"Chr01",28400000,28900000,6,0,100
"Chr01",28500000,2.9e+07,4,0,100
"Chr01",28600000,29100000,4,0,100
"Chr01",28700000,29200000,3,0,100
"Chr01",28800000,29300000,3,0,100
"Chr01",2.9e+07,29500000,3,0,100
"Chr01",29100000,29600000,5,0,100
"Chr01",29200000,29700000,5,0,100
"Chr01",29300000,29800000,5,0,100
"Chr01",29400000,29900000,5,0,100
"Chr01",29500000,3e+07,9,0,100
"Chr01",29600000,30100000,8,0,100
"Chr01",29700000,30200000,9,0,100
"Chr01",29800000,30300000,9,0,100
"Chr01",29900000,30400000,10,0,100
"Chr01",3e+07,30500000,3,0,100
"Chr01",30100000,30600000,9,0,100
"Chr01",30200000,30700000,8,0,100
"Chr01",30300000,30800000,10,0,100
"Chr01",30400000,30900000,10,0,100
"Chr01",30500000,3.1e+07,12,0,100
"Chr01",30600000,31100000,5,0,100
"Chr01",30700000,31200000,5,0,100
"Chr01",30800000,31300000,5,0,100
"Chr01",30900000,31400000,7,0,100
"Chr01",3.1e+07,31500000,9,0,100
"Chr01",31100000,31600000,13,0,100
"Chr01",31200000,31700000,20,0,100
"Chr01",31300000,31800000,21,0,100
"Chr01",31400000,31900000,21,0,100
"Chr01",31500000,3.2e+07,21,0,100
"Chr01",31600000,32100000,21,0,100
"Chr01",31700000,32200000,19,0,100
"Chr01",31800000,32300000,29,0,100
"Chr01",31900000,32400000,40,0,100
"Chr01",3.2e+07,32500000,37,0,100
"Chr01",32100000,32600000,40,0,100
"Chr01",32200000,32700000,38,0,100
"Chr01",32300000,32800000,35,0,100
"Chr01",32400000,32900000,27,0,100
"Chr01",32500000,3.3e+07,28,0,100
"Chr01",32600000,33100000,31,0,100
"Chr01",32700000,33200000,28,0,100
"Chr01",32800000,33300000,19,0,100
"Chr01",32900000,33400000,19,0,100
"Chr01",3.3e+07,33500000,32,0,100
"Chr01",33100000,33600000,22,0,100
"Chr01",33200000,33700000,25,0,100
"Chr01",33300000,33800000,31,0,100
"Chr01",33400000,33900000,28,0,100
"Chr01",33500000,3.4e+07,20,1,95
"Chr01",33600000,34100000,25,1,96
"Chr01",33700000,34200000,25,1,96
"Chr01",33800000,34300000,19,1,94.74
"Chr01",33900000,34400000,20,1,95
"Chr01",3.4e+07,34500000,14,0,100
"Chr01",34100000,34600000,13,0,100
"Chr01",34200000,34700000,13,0,100
"Chr01",34300000,34800000,19,0,100
"Chr01",34400000,34900000,16,0,100
"Chr01",34500000,3.5e+07,20,0,100
"Chr01",34600000,35100000,20,0,100
"Chr01",34700000,35200000,21,0,100
"Chr01",34800000,35300000,16,0,100
"Chr01",34900000,35400000,15,0,100
"Chr01",3.5e+07,35500000,10,0,100
"Chr01",35100000,35600000,10,0,100
"Chr01",35200000,35700000,8,0,100
"Chr01",35300000,35800000,6,0,100
"Chr01",35400000,35900000,7,0,100
"Chr01",35500000,3.6e+07,10,0,100
"Chr01",35600000,36100000,9,0,100
"Chr01",35700000,36200000,9,0,100
"Chr01",35800000,36300000,11,0,100
"Chr01",35900000,36400000,11,0,100
"Chr01",3.6e+07,36500000,12,0,100
"Chr01",36100000,36600000,9,0,100
"Chr01",36200000,36700000,8,0,100
"Chr01",36300000,36800000,6,0,100
"Chr01",36400000,36900000,7,0,100
"Chr01",36500000,3.7e+07,5,0,100
"Chr01",36600000,37100000,5,0,100
"Chr01",36700000,37200000,5,0,100
"Chr01",36800000,37300000,6,0,100
"Chr01",36900000,37400000,6,0,100
"Chr01",3.7e+07,37500000,4,0,100
"Chr01",37100000,37600000,7,0,100
"Chr01",37200000,37700000,8,0,100
"Chr01",37300000,37800000,8,0,100
"Chr01",37400000,37900000,16,0,100
"Chr01",37500000,3.8e+07,17,0,100
"Chr01",37600000,38100000,23,0,100
"Chr01",37700000,38200000,25,0,100
"Chr01",37800000,38300000,24,0,100
"Chr01",37900000,38400000,15,0,100
"Chr01",3.8e+07,38500000,19,0,100
"Chr01",38100000,38600000,10,0,100
"Chr01",38200000,38700000,7,0,100
"Chr01",38300000,38800000,12,0,100
"Chr01",38400000,38900000,11,0,100
"Chr01",38500000,3.9e+07,9,0,100
"Chr01",38600000,39100000,11,0,100
"Chr01",38700000,39200000,10,0,100
"Chr01",38800000,39300000,9,0,100
"Chr01",38900000,39400000,13,1,92.31
"Chr01",3.9e+07,39500000,13,1,92.31
"Chr01",39100000,39600000,19,1,94.74
"Chr01",39200000,39700000,21,1,95.24
"Chr01",39300000,39800000,21,1,95.24
"Chr01",39400000,39900000,18,0,100
"Chr01",39500000,4e+07,21,0,100
"Chr01",39600000,40100000,19,0,100
"Chr01",39700000,40200000,18,0,100
"Chr01",39800000,40300000,22,0,100
"Chr01",39900000,40400000,44,0,100
"Chr01",4e+07,40500000,41,0,100
"Chr01",40100000,40600000,39,0,100
"Chr01",40200000,40700000,46,0,100
"Chr01",40300000,40800000,43,0,100
"Chr01",40400000,40900000,25,0,100
"Chr01",40500000,4.1e+07,27,0,100
"Chr01",40600000,41100000,26,0,100
"Chr01",40700000,41200000,21,0,100
"Chr01",40800000,41300000,23,0,100
"Chr01",40900000,41400000,20,0,100
"Chr01",4.1e+07,41500000,15,0,100
"Chr01",41100000,41600000,14,0,100
"Chr01",41200000,41700000,13,0,100
"Chr01",41300000,41800000,9,0,100
"Chr01",41400000,41900000,9,0,100
"Chr01",41500000,4.2e+07,11,0,100
"Chr01",41600000,42100000,11,0,100
"Chr01",41700000,42200000,10,0,100
"Chr01",41800000,42300000,8,0,100
"Chr01",41900000,42400000,6,0,100
"Chr01",4.2e+07,42500000,7,0,100
"Chr01",42100000,42600000,9,0,100
"Chr01",42200000,42700000,9,0,100
"Chr01",42300000,42800000,8,0,100
"Chr01",42400000,42900000,9,0,100
"Chr01",42500000,4.3e+07,9,0,100
"Chr01",42600000,43100000,11,0,100
"Chr01",42700000,43200000,32,0,100
"Chr01",42800000,43300000,41,0,100
"Chr01",42900000,43400000,40,0,100
"Chr01",4.3e+07,43500000,37,0,100
"Chr01",43100000,43600000,31,0,100
"Chr01",43200000,43700000,9,0,100
"Chr02",0,5e+05,8,0,100
"Chr02",1e+05,6e+05,7,0,100
"Chr02",2e+05,7e+05,2,0,100
"Chr02",3e+05,8e+05,1,0,100
"Chr02",4e+05,9e+05,2,0,100
"Chr02",5e+05,1e+06,2,0,100
"Chr02",6e+05,1100000,2,0,100
"Chr02",7e+05,1200000,6,0,100
"Chr02",8e+05,1300000,9,0,100
"Chr02",9e+05,1400000,13,0,100
"Chr02",1e+06,1500000,16,0,100
"Chr02",1100000,1600000,24,0,100
"Chr02",1200000,1700000,20,0,100
"Chr02",1300000,1800000,18,0,100
"Chr02",1400000,1900000,14,0,100
"Chr02",1500000,2e+06,12,0,100
"Chr02",1600000,2100000,4,0,100
"Chr02",1700000,2200000,6,0,100
"Chr02",1800000,2300000,5,0,100
"Chr02",1900000,2400000,5,0,100
"Chr02",2e+06,2500000,8,0,100
"Chr02",2100000,2600000,8,0,100
"Chr02",2200000,2700000,11,0,100
"Chr02",2300000,2800000,10,0,100
"Chr02",2400000,2900000,9,0,100
"Chr02",2500000,3e+06,11,0,100
"Chr02",2600000,3100000,11,0,100
"Chr02",2700000,3200000,8,0,100
"Chr02",2800000,3300000,11,0,100
"Chr02",2900000,3400000,13,0,100
"Chr02",3e+06,3500000,11,0,100
"Chr02",3100000,3600000,27,0,100
"Chr02",3200000,3700000,37,0,100
"Chr02",3300000,3800000,44,0,100
"Chr02",3400000,3900000,54,4,92.59
"Chr02",3500000,4e+06,53,4,92.45
"Chr02",3600000,4100000,39,4,89.74
"Chr02",3700000,4200000,29,4,86.21
"Chr02",3800000,4300000,26,5,80.77
"Chr02",3900000,4400000,20,2,90
"Chr02",4e+06,4500000,23,2,91.3
"Chr02",4100000,4600000,36,2,94.44
"Chr02",4200000,4700000,36,2,94.44
"Chr02",4300000,4800000,39,1,97.44
"Chr02",4400000,4900000,47,0,100
"Chr02",4500000,5e+06,53,1,98.11
"Chr02",4600000,5100000,46,2,95.65
"Chr02",4700000,5200000,47,2,95.74
"Chr02",4800000,5300000,38,2,94.74
"Chr02",4900000,5400000,29,2,93.1
"Chr02",5e+06,5500000,19,2,89.47
"Chr02",5100000,5600000,14,1,92.86
"Chr02",5200000,5700000,14,1,92.86
"Chr02",5300000,5800000,18,1,94.44
"Chr02",5400000,5900000,23,2,91.3
"Chr02",5500000,6e+06,24,1,95.83
"Chr02",5600000,6100000,26,1,96.15
"Chr02",5700000,6200000,30,8,73.33
"Chr02",5800000,6300000,25,8,68
"Chr02",5900000,6400000,16,7,56.25
"Chr02",6e+06,6500000,13,7,46.15
"Chr02",6100000,6600000,9,7,22.22
"Chr02",6200000,6700000,10,0,100
"Chr02",6300000,6800000,20,0,100
"Chr02",6400000,6900000,22,0,100
"Chr02",6500000,7e+06,27,0,100
"Chr02",6600000,7100000,34,0,100
"Chr02",6700000,7200000,35,0,100
"Chr02",6800000,7300000,28,0,100
"Chr02",6900000,7400000,33,0,100
"Chr02",7e+06,7500000,38,1,97.37
"Chr02",7100000,7600000,46,2,95.65
"Chr02",7200000,7700000,43,2,95.35
"Chr02",7300000,7800000,47,3,93.62
"Chr02",7400000,7900000,39,3,92.31
"Chr02",7500000,8e+06,30,2,93.33
"Chr02",7600000,8100000,25,1,96
"Chr02",7700000,8200000,22,3,86.36
"Chr02",7800000,8300000,17,2,88.24
"Chr02",7900000,8400000,28,2,92.86
"Chr02",8e+06,8500000,33,3,90.91
"Chr02",8100000,8600000,23,3,86.96
"Chr02",8200000,8700000,20,1,95
"Chr02",8300000,8800000,18,1,94.44
"Chr02",8400000,8900000,9,1,88.89
"Chr02",8500000,9e+06,10,0,100
"Chr02",8600000,9100000,10,0,100
"Chr02",8700000,9200000,11,0,100
"Chr02",8800000,9300000,11,0,100
"Chr02",8900000,9400000,9,0,100
"Chr02",9e+06,9500000,6,0,100
"Chr02",9100000,9600000,8,0,100
"Chr02",9200000,9700000,7,0,100
"Chr02",9300000,9800000,7,0,100
"Chr02",9400000,9900000,7,0,100
"Chr02",9500000,1e+07,12,0,100
"Chr02",9600000,10100000,11,0,100
"Chr02",9700000,10200000,15,0,100
"Chr02",9800000,10300000,22,0,100
"Chr02",9900000,10400000,28,1,96.43
"Chr02",1e+07,10500000,22,1,95.45
"Chr02",10100000,10600000,23,1,95.65
"Chr02",10200000,10700000,23,1,95.65
"Chr02",10300000,10800000,16,1,93.75
"Chr02",10400000,10900000,18,0,100
"Chr02",10500000,1.1e+07,24,0,100
"Chr02",10600000,11100000,21,0,100
"Chr02",10700000,11200000,17,0,100
"Chr02",10800000,11300000,34,0,100
"Chr02",10900000,11400000,30,0,100
"Chr02",1.1e+07,11500000,24,0,100
"Chr02",11100000,11600000,32,0,100
"Chr02",11200000,11700000,32,0,100
"Chr02",11300000,11800000,20,0,100
"Chr02",11400000,11900000,26,0,100
"Chr02",11500000,1.2e+07,23,0,100
"Chr02",11600000,12100000,28,0,100
"Chr02",11700000,12200000,34,0,100
"Chr02",11800000,12300000,39,0,100
"Chr02",11900000,12400000,30,0,100
"Chr02",1.2e+07,12500000,38,0,100
"Chr02",12100000,12600000,49,0,100
"Chr02",12200000,12700000,56,0,100
"Chr02",12300000,12800000,54,0,100
"Chr02",12400000,12900000,53,0,100
"Chr02",12500000,1.3e+07,49,0,100
"Chr02",12600000,13100000,29,0,100
"Chr02",12700000,13200000,20,0,100
"Chr02",12800000,13300000,30,0,100
"Chr02",12900000,13400000,40,0,100
"Chr02",1.3e+07,13500000,55,0,100
"Chr02",13100000,13600000,72,0,100
"Chr02",13200000,13700000,69,0,100
"Chr02",13300000,13800000,54,0,100
"Chr02",13400000,13900000,57,0,100
"Chr02",13500000,1.4e+07,50,0,100
"Chr02",13600000,14100000,39,0,100
"Chr02",13700000,14200000,50,0,100
"Chr02",13800000,14300000,55,0,100
"Chr02",13900000,14400000,53,0,100
"Chr02",1.4e+07,14500000,57,0,100
"Chr02",14100000,14600000,59,0,100
"Chr02",14200000,14700000,67,0,100
"Chr02",14300000,14800000,75,0,100
"Chr02",14400000,14900000,82,0,100
"Chr02",14500000,1.5e+07,83,0,100
"Chr02",14600000,15100000,89,1,98.88
"Chr02",14700000,15200000,81,1,98.77
"Chr02",14800000,15300000,74,1,98.65
"Chr02",14900000,15400000,58,1,98.28
"Chr02",1.5e+07,15500000,53,1,98.11
"Chr02",15100000,15600000,43,0,100
"Chr02",15200000,15700000,32,0,100
"Chr02",15300000,15800000,35,1,97.14
"Chr02",15400000,15900000,49,1,97.96
"Chr02",15500000,1.6e+07,42,1,97.62
"Chr02",15600000,16100000,35,1,97.14
"Chr02",15700000,16200000,38,2,94.74
"Chr02",15800000,16300000,26,1,96.15
"Chr02",15900000,16400000,10,1,90
"Chr02",1.6e+07,16500000,6,1,83.33
"Chr02",16100000,16600000,14,1,92.86
"Chr02",16200000,16700000,10,0,100
"Chr02",16300000,16800000,10,0,100
"Chr02",16400000,16900000,11,1,90.91
"Chr02",16500000,1.7e+07,11,1,90.91
"Chr02",16600000,17100000,9,1,88.89
"Chr02",16700000,17200000,14,1,92.86
"Chr02",16800000,17300000,17,1,94.12
"Chr02",16900000,17400000,18,0,100
"Chr02",1.7e+07,17500000,18,0,100
"Chr02",17100000,17600000,14,0,100
"Chr02",17200000,17700000,9,0,100
"Chr02",17300000,17800000,6,0,100
"Chr02",17400000,17900000,5,0,100
"Chr02",17500000,1.8e+07,6,0,100
"Chr02",17600000,18100000,11,0,100
"Chr02",17700000,18200000,11,0,100
"Chr02",17800000,18300000,11,0,100
"Chr02",17900000,18400000,15,0,100
"Chr02",1.8e+07,18500000,18,0,100
"Chr02",18100000,18600000,21,0,100
"Chr02",18200000,18700000,34,0,100
"Chr02",18300000,18800000,39,0,100
"Chr02",18400000,18900000,34,0,100
"Chr02",18500000,1.9e+07,35,0,100
"Chr02",18600000,19100000,28,0,100
"Chr02",18700000,19200000,21,0,100
"Chr02",18800000,19300000,22,0,100
"Chr02",18900000,19400000,22,0,100
"Chr02",1.9e+07,19500000,16,0,100
"Chr02",19100000,19600000,15,0,100
"Chr02",19200000,19700000,10,0,100
"Chr02",19300000,19800000,10,0,100
"Chr02",19400000,19900000,11,0,100
"Chr02",19500000,2e+07,13,0,100
"Chr02",19600000,20100000,21,0,100
"Chr02",19700000,20200000,22,0,100
"Chr02",19800000,20300000,22,0,100
"Chr02",19900000,20400000,37,0,100
"Chr02",2e+07,20500000,36,0,100
"Chr02",20100000,20600000,35,0,100
"Chr02",20200000,20700000,35,0,100
"Chr02",20300000,20800000,31,0,100
"Chr02",20400000,20900000,17,0,100
"Chr02",20500000,2.1e+07,19,1,94.74
"Chr02",20600000,21100000,46,1,97.83
"Chr02",20700000,21200000,59,1,98.31
"Chr02",20800000,21300000,65,1,98.46
"Chr02",20900000,21400000,65,1,98.46
"Chr02",2.1e+07,21500000,62,0,100
"Chr02",21100000,21600000,29,0,100
"Chr02",21200000,21700000,14,0,100
"Chr02",21300000,21800000,6,0,100
"Chr02",21400000,21900000,5,0,100
"Chr02",21500000,2.2e+07,8,0,100
"Chr02",21600000,22100000,11,0,100
"Chr02",21700000,22200000,19,0,100
"Chr02",21800000,22300000,21,0,100
"Chr02",21900000,22400000,26,4,84.62
"Chr02",2.2e+07,22500000,31,4,87.1
"Chr02",22100000,22600000,24,4,83.33
"Chr02",22200000,22700000,22,5,77.27
"Chr02",22300000,22800000,23,6,73.91
"Chr02",22400000,22900000,30,9,70
"Chr02",22500000,2.3e+07,41,9,78.05
"Chr02",22600000,23100000,48,9,81.25
"Chr02",22700000,23200000,45,8,82.22
"Chr02",22800000,23300000,42,7,83.33
"Chr02",22900000,23400000,29,0,100
"Chr02",2.3e+07,23500000,10,0,100
"Chr02",23100000,23600000,9,0,100
"Chr02",23200000,23700000,9,0,100
"Chr02",23300000,23800000,10,0,100
"Chr02",23400000,23900000,18,0,100
"Chr02",23500000,2.4e+07,19,0,100
"Chr02",23600000,24100000,16,0,100
"Chr02",23700000,24200000,13,0,100
"Chr02",23800000,24300000,12,0,100
"Chr02",23900000,24400000,4,0,100
"Chr02",2.4e+07,24500000,3,0,100
"Chr02",24200000,24700000,1,0,100
"Chr02",24300000,24800000,1,0,100
"Chr02",24400000,24900000,9,0,100
"Chr02",24500000,2.5e+07,21,0,100
"Chr02",24600000,25100000,28,0,100
